,bri,car,fra,perm,por,x,y,label_kmeans,1st,ofm,label_pca,label_ofm
2436,0.454072143,50.64410775,4.379219241,7.804441239,7.461030908,,,1,0.674953276,27.82673734,0,0
2437,0.452281855,50.92618718,4.335768471,7.364215562,7.387477302,,,1,0.669079431,27.83284119,0,0
2438,0.44992114,51.07850664,4.294519916,7.014245121,7.294004684,,,1,0.662242607,27.80062338,0,0
2439,0.447425921,51.15873839,4.236145292,6.653433758,7.181384601,,,1,0.653287789,27.72781823,0,0
2440,0.444542165,51.16544316,4.208935586,6.247052177,7.047820854,,,1,0.64563348,27.60747978,0,0
2441,0.443119045,51.13721495,4.182039599,5.781454158,6.879075489,,,1,0.637727021,27.45201823,0,0
2442,0.440987684,50.74416416,4.148515216,5.240714116,6.678687615,,,1,0.626789379,27.0935337,0,0
2443,0.438961012,50.85560324,4.108353498,4.609693966,6.459083825,,,1,0.616467629,26.95656813,0,0
2444,0.436964123,50.96268677,4.031301348,3.952274063,6.234182646,,,1,0.603177308,26.80672254,0,0
2445,0.434795874,51.04885921,4.007137692,3.319067183,6.026572149,,,1,0.594207263,26.6582742,0,0
2446,0.434382176,51.11158187,3.985194865,2.751043365,5.889505667,,,1,0.588206163,26.51943946,0,0
2447,0.430416424,51.1566681,3.968222623,2.278245541,5.798222209,,,1,0.581827769,26.40071061,0,0
2448,0.425042929,51.19277245,3.956912237,1.948585406,5.727412202,,,1,0.575785056,26.31978254,0,0
2449,0.417058998,51.20219037,3.9514451,1.777845136,5.667621845,,,1,0.569137895,26.27210741,0,0
2450,0.406795716,51.21675717,3.950153985,1.685254034,5.610911963,,,1,0.561733149,26.24972047,0,0
2451,0.392982649,51.22267204,3.887211594,1.628170542,5.553156026,,,1,0.547650713,26.22796037,0,0
2452,0.375779256,51.22181097,3.868910648,1.586016124,5.572616375,,,1,0.537011115,26.212537,1,0
2453,0.356898393,51.22192872,3.858919068,1.551565941,5.526059833,,,1,0.524390493,26.19846377,1,0
2454,0.337347892,51.22689981,3.873947196,1.527728012,5.505401572,,,1,0.513981521,26.19250558,1,0
2455,0.317692188,51.12268573,3.876548114,1.51664352,5.435647041,,,1,0.500975214,26.13403743,1,0
2456,0.299130619,51.13846305,3.878343051,1.518042311,5.354814266,,,1,0.488659243,26.13806622,1,0
2457,0.283601592,51.09002633,3.877422448,1.526672565,5.26693434,,,1,0.47746138,26.1124528,1,0
2458,0.269577001,51.1223174,3.862427984,1.544058655,5.172464379,,,1,0.466156725,26.12801181,1,0
2459,0.256440629,51.29226419,3.838417261,1.553927838,5.068865773,,,1,0.454883394,26.20836841,1,0
2460,0.244212389,51.6598773,3.800854667,1.561403473,4.973525866,,,1,0.443958767,26.38470485,1,0
2461,0.232369714,52.28506473,3.75692346,1.557216451,4.893709362,,,1,0.434004623,26.68459299,1,0
2462,0.221685653,52.93097918,3.710954445,1.550233814,4.77018397,,,1,0.423499865,26.99263484,1,0
2463,0.210219475,52.97126109,3.657133344,1.53981461,4.639251338,,,1,0.409748455,27.00024706,1,0
2464,0.199443562,52.02712083,3.59318704,1.523848902,4.501444726,,,1,0.3921556,26.5201105,1,0
2465,0.190253746,49.73941224,3.520558123,1.509640547,4.354614465,,,1,0.370094492,25.37746819,1,0
2466,0.182430896,45.78756727,3.438866652,1.49632897,4.197819064,,,1,0.342319971,23.41398392,1,1
2467,0.175610336,41.29699853,3.347136161,1.491271345,4.025796136,,,1,0.312177962,21.18622961,1,1
2468,0.170231646,36.40272488,3.247005926,1.495299019,3.818440626,,,1,0.279979096,18.76061511,1,1
2469,0.165658406,31.22383703,3.144017449,1.51062925,3.576944402,,,0,0.246215645,16.19688839,1,1
2470,0.161665228,26.59419897,3.04134051,1.534774938,3.354203213,,,0,0.21512225,13.90704357,1,1
2471,0.158327613,22.72100334,2.969328265,1.562465621,3.157467434,,,0,0.189910503,11.99432897,1,1
2472,0.155847153,19.51942444,2.915722062,1.584292959,2.986497957,,,0,0.169461952,10.41324753,1,1
2473,0.153256888,17.10954164,2.885118815,1.590802922,2.836267562,,,0,0.153839184,9.22037671,1,1
2474,0.1509663,15.06435382,2.813283261,1.582658849,2.721621564,,,0,0.137357972,8.200744246,1,1
2475,0.148767531,13.18508209,2.733487584,1.563520767,2.614877225,,,0,0.121062747,7.259306124,1,1
2476,0.146787054,11.31779298,2.651137796,1.537210219,2.534714762,,,0,0.105403243,6.322261992,1,1
2477,0.144349919,9.313845065,2.573033296,1.498030983,2.456452063,,,0,0.089383215,5.314484526,1,2
2478,0.140043106,6.948160902,2.502543381,1.4426413,2.39426717,,,0,0.072069378,4.124578675,1,2
2479,0.134307184,4.522221385,2.448711643,1.353156536,2.328571616,,,0,0.054874985,2.89620385,1,2
2480,0.128361904,2.170693173,2.430165711,1.171833588,2.270258312,,,0,0.040541715,1.680985735,1,2
2481,0.12215024,0.163828098,2.452257821,1.016556892,2.203225082,,,0,0.030104058,0.646165694,2,2
2482,0.115943211,-0.75787578,2.507642651,0.954597166,2.13201823,,,0,0.025837182,0.175736188,2,2
2483,0.109820309,-1.068574402,2.561514006,0.95365318,2.048240833,,,0,0.023306222,0.023635631,2,2
2484,0.104068158,-1.057838043,2.59100738,1.011268997,1.954836203,,,0,0.020045392,0.044704798,2,2
2485,0.098697539,-1.093894667,2.590250307,1.103849715,1.850533134,,,0,0.014322352,0.050122582,2,2
2486,0.094004211,-1.225177577,2.558824139,1.160358957,1.731032268,,,0,0.005898192,-0.004629442,2,2
2487,0.089593465,-1.395941798,2.482872362,1.099611643,1.607866444,,,0,-0.006138203,-0.116366052,2,2
